age	 lit_no	 whole width	 left side range	 whole integral	 left side integral	 max loc	 max alpha	 min alpha	 file name 
16.50	 1	 2.536388	 0.887712	 4.601976	 1.692192	 2.473239	 4.121915	 1.585527	 2019_04_01_FuzContr1_E16,5-1.tif_res.mat
16.50	 1	 2.671545	 0.679077	 4.618085	 1.315755	 2.287378	 4.279846	 1.608301	 2019_04_01_FuzContr2_E16,5-1_Left.tif_res.mat
16.50	 1	 2.441052	 0.690329	 4.004219	 1.329577	 2.260136	 4.010859	 1.569807	 2019_04_01_FuzContr2_E16,5-1_Right.tif_res.mat
16.50	 1	 2.499807	 0.725298	 4.206630	 1.393127	 2.355101	 4.129610	 1.629803	 2019_04_01_FuzContr3_E16,5-1.tif_res.mat
16.50	 1	 2.829687	 0.807048	 4.654616	 1.528320	 2.266309	 4.288948	 1.459261	 2019_04_01_FuzContr4_E16,5-1_Left.tif_res.mat
16.50	 1	 2.695582	 0.870974	 4.496125	 1.661296	 2.388767	 4.213376	 1.517793	 2019_04_01_FuzContr4_E16,5-1_Right.tif_res.mat
16.50	 2	 2.599508	 0.643287	 4.281359	 1.165710	 2.300561	 4.256781	 1.657273	 2019_04_01_WT1_E16,5-1_Left.tif_res.mat
16.50	 2	 2.549348	 0.579339	 4.399084	 1.121387	 2.162944	 4.132953	 1.583605	 2019_04_01_WT1_E16,5-1_Right.tif_res.mat
16.50	 2	 2.672072	 0.470790	 4.386826	 0.654050	 2.199952	 4.401234	 1.729162	 2019_04_01_WT2_E16,5-1_Left.tif_res.mat
16.50	 2	 2.764906	 0.485883	 4.391507	 0.864069	 2.146440	 4.425463	 1.660557	 2019_04_01_WT2_E16,5-1_Right.tif_res.mat
16.50	 3	 2.138310	 0.275416	 3.035336	 0.540274	 2.051386	 3.914281	 1.775971	 2019_04_10_WT1_E16,5_left-1.tif_res.mat
16.50	 3	 2.920582	 0.345767	 4.005662	 0.675869	 2.125426	 4.700240	 1.779659	 2019_04_10_WT1_E16,5_right-1.tif_res.mat
16.50	 3	 2.615968	 0.396841	 3.723112	 0.770486	 2.105084	 4.324210	 1.708243	 2019_04_10_WT2_E16,5_left-1.tif_res.mat
16.50	 3	 1.874568	 0.441530	 3.250178	 0.856325	 2.200225	 3.633263	 1.758694	 2019_04_10_WT2_E16,5_right-1.tif_res.mat
16.50	 3	 2.531161	 0.404252	 3.911313	 0.787765	 2.078049	 4.204958	 1.673797	 2019_04_10_WT3_E16,5_left-1.tif_res.mat
16.50	 3	 2.440875	 0.439880	 3.657388	 0.851302	 2.137537	 4.138533	 1.697658	 2019_04_10_WT3_E16,5_right-1.tif_res.mat
